City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,79.34,25,14.14,PF,scattered clouds
1,Airai,TL,-8.9266,125.4092,69.8,100,1.74,TL,overcast clouds
2,Narsaq,GL,60.9167,-46.05,17.82,88,8.77,GL,overcast clouds
3,Wagar,SD,16.1525,36.2032,70.05,0,12.64,SD,clear sky
4,Contamana,PE,-7.3333,-75.0167,72.81,38,1.52,PE,scattered clouds
5,Bengkulu,ID,-3.8004,102.2655,78.87,99,2.8,ID,overcast clouds
6,Kapaa,US,22.0752,-159.319,80.58,75,4.61,US,broken clouds
7,Oranjestad,AW,12.524,-70.027,78.75,20,17.27,AW,few clouds
8,Hamilton,US,39.1834,-84.5333,36.79,0,1.01,US,clear sky
9,Jamestown,US,42.097,-79.2353,31.3,100,6.91,US,overcast clouds
10,Albany,US,42.6001,-73.9662,36.82,42,3.94,US,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,44.71,75,5.75,CL,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,61.09,0,4.61,ZA,clear sky
13,Port Hardy,CA,50.6996,-127.4199,45.75,75,10.36,CA,broken clouds
14,Karasjok,NO,69.4719,25.5112,14.11,100,6.04,NO,overcast clouds
15,Port Alfred,ZA,-33.5906,26.891,67.5,9,6.11,ZA,clear sky
16,Georgetown,MY,5.4112,100.3354,80.53,20,3.44,MY,moderate rain
17,Dillon,US,34.4166,-79.3712,55.26,22,7.31,US,few clouds
18,Buchanan,LR,5.8808,-10.0467,76.96,27,4.16,LR,scattered clouds
19,Saint-Augustin,CA,51.226,-58.6502,28.89,100,11.32,CA,light snow
20,Bluff,NZ,-46.6,168.3333,63.81,29,11.61,NZ,scattered clouds
21,Butaritari,KI,3.0707,172.7902,82.11,18,18.25,KI,few clouds
22,Mataura,NZ,-46.1927,168.8643,63.48,51,5.68,NZ,broken clouds
23,Meulaboh,ID,4.1363,96.1285,79.14,67,4.09,ID,broken clouds
24,Coalinga,US,36.1397,-120.3602,66.58,0,1.88,US,clear sky
25,The Valley,AI,18.217,-63.0578,76.86,45,24.72,AI,scattered clouds
26,Vaini,TO,-21.2,-175.2,86.16,40,11.5,TO,scattered clouds
27,Mount Gambier,AU,-37.8333,140.7667,68.02,99,11.9,AU,overcast clouds
