City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shingu,JP,2/6/2022 23:11,33.7333,135.9833,38.91,64,19,5.57
1,Jamestown,US,2/6/2022 23:08,42.097,-79.2353,33.39,44,0,7
2,Marawi,PH,2/6/2022 23:08,7.9986,124.2928,64.65,88,26,1.52
3,Upernavik,GL,2/6/2022 23:08,72.7868,-56.1549,-15.5,99,100,9.75
4,Nicoya,CR,2/6/2022 23:12,10.1483,-85.452,83.75,47,73,9.26
5,Kadoshkino,RU,2/6/2022 23:12,54.0257,44.4191,10.18,97,98,5.91
6,Gamba,GA,2/6/2022 23:09,-2.65,10,76.68,89,29,5.77
7,Hilo,US,2/6/2022 23:04,19.7297,-155.09,74.25,93,53,3
8,Victoria,HK,2/6/2022 23:07,22.2855,114.1577,61.25,87,100,8.99
9,Avarua,CK,2/6/2022 23:12,-21.2078,-159.775,82.45,78,40,16.11
10,Barrow,US,2/6/2022 23:07,71.2906,-156.7887,-25.58,68,0,12.66
11,Bluff,NZ,2/6/2022 23:06,-46.6,168.3333,58.8,61,1,9.66
12,Khatanga,RU,2/6/2022 23:08,71.9667,102.5,-16.06,98,99,9.06
13,Amiens,FR,2/6/2022 23:12,49.9,2.3,47.26,75,52,22.77
14,Broome,US,2/6/2022 23:11,42.2506,-75.833,26.06,73,0,1.99
15,Nikolskoye,RU,2/6/2022 23:07,59.7035,30.7861,35.87,94,100,11.43
16,Lazaro Cardenas,MX,2/6/2022 23:12,17.9583,-102.2,82.89,51,9,10.58
17,Tiksi,RU,2/6/2022 23:03,71.6872,128.8694,-15.56,99,100,5.03
18,Hobart,AU,2/6/2022 23:07,-42.8794,147.3294,70.02,58,20,3
19,Vaini,TO,2/6/2022 23:08,-21.2,-175.2,77.16,94,100,11.5
20,Sandnessjoen,NO,2/6/2022 23:12,66.0217,12.6316,31.98,81,46,3
21,Arraial Do Cabo,BR,2/6/2022 23:05,-22.9661,-42.0278,80.46,78,40,13.8
22,Rikitea,PF,2/6/2022 23:07,-23.1203,-134.9692,79.3,70,3,17.92
23,Iskateley,RU,2/6/2022 23:12,67.6803,53.1512,13.19,91,100,15.64
24,Carnarvon,AU,2/6/2022 23:02,-24.8667,113.6333,71.58,61,9,21.56
25,Bethel,US,2/6/2022 23:08,41.3712,-73.414,27.48,68,0,3.44
26,Kruisfontein,ZA,2/6/2022 23:10,-34.0033,24.7314,70.88,60,100,4.47
27,Leningradskiy,RU,2/6/2022 23:11,69.3833,178.4167,-23.89,98,28,4.21
28,Georgetown,MY,2/6/2022 23:08,5.4112,100.3354,76.95,92,20,4.61
29,Palana,RU,2/6/2022 23:12,59.1167,159.9667,9.19,79,94,8.97
30,Manokwari,ID,2/6/2022 23:12,-0.8667,134.0833,79.84,72,100,0.43
31,Wukari,NG,2/6/2022 23:12,7.85,9.7833,75.13,19,3,5.19
32,Cape Town,ZA,2/6/2022 23:02,-33.9258,18.4232,66.27,79,21,4.83
33,Kapaa,US,2/6/2022 23:08,22.0752,-159.319,78.78,75,75,1.99
34,Pacific Grove,US,2/6/2022 23:05,36.6177,-121.9166,73.62,63,0,4
35,Yellowknife,CA,2/6/2022 23:08,62.456,-114.3525,0.41,97,100,8.97
36,Rangpur,BD,2/6/2022 23:12,25.75,89.25,63.12,67,100,0.74
